CODIGO ; NIVEL DE ACCESO ; NOMBRE ; CATEGORIA ; DESCRIPCION CORTA ; DESCRIPCION ; IMPORTE ; ACTIVO/EN VENTA ; NOMBRE ARCHIVO IMAGEN  ; NOMBRE SKU ; COLOR ; CODIGO DE BARRAS DE FORMATO ; LONGITUD ; ANCHO ; ALTO ; ABREVIACION DE UNIDAD DE MEDIDA DE LONGITUD ; ABREVIACION DE UNIDAD DE MEDIDA DE CANTIDAD ; NIVEL DE ACCESO DEL FORMATO ; ACTUALIZAR PAR√ÅMETROS ; ACTUALIZAR GALERIA IMAGENES DE PRODUCTO ; ACTUALIZAR GALERIA IMAGENES DE FORMATO
09738        ; 100 ; Zapatero con puerta de espejo  ; Mueble ;  ;  ; 0 ; 1 ;  ; 09738        ;  ; 8435406100108 ; 50 ; 8 ; 0 ; Cm ; U ; 100 ; 0 ; 0 ; 0
09768        ; 100 ; Canasto balancÌn cojÌn blanco  ; Mueble ;  ;  ; 0 ; 1 ;  ; 09768        ;  ; 8435406100115 ; 100 ; 196 ; 0 ; Cm ; U ; 100 ; 0 ; 0 ; 0
09794        ; 100 ; Conjunto 2 sillas polipiel     ; Mueble ;  ;  ; 0 ; 1 ;  ; 09794        ;  ; 8435406100122 ; 100 ; 46 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
09916        ; 100 ; Zapatero con puertas abatibles ; Mueble ;  ;  ; 0 ; 1 ;  ; 09916        ;  ; 8435406100139 ; 59 ; 8 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
09924        ; 100 ; Conjunto de mesa con 4 sillas  ; Mueble ;  ;  ; 0 ; 1 ;  ; 09924        ;  ; 8435406100153 ; 80 ; 47 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14870        ; 100 ; Cuadro Ûleo ·rbol              ; Mueble ;  ;  ; 0 ; 1 ;  ; 14870        ;  ; 8435406130822 ; 4 ; 120 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14871        ; 100 ; Cuadro Ûleo ·rbol              ; Mueble ;  ;  ; 0 ; 1 ;  ; 14871        ;  ; 8435406130877 ; 4 ; 120 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14872        ; 100 ; Cuadro Ûleo buda               ; Mueble ;  ;  ; 0 ; 1 ;  ; 14872        ;  ; 8435406130884 ; 4 ; 60 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14873        ; 100 ; Cuadro Ûleo buda               ; Mueble ;  ;  ; 0 ; 1 ;  ; 14873        ;  ; 8435406130891 ; 4 ; 60 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14874        ; 100 ; Cuadro Ûleo ·rboles            ; Mueble ;  ;  ; 0 ; 1 ;  ; 14874        ;  ; 8435406130907 ; 4 ; 50 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14875        ; 100 ; Cuadro Ûleo ·rboles            ; Mueble ;  ;  ; 0 ; 1 ;  ; 14875        ;  ; 8435406130914 ; 4 ; 50 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14876        ; 100 ; Cuadro Ûleo jarrones           ; Mueble ;  ;  ; 0 ; 1 ;  ; 14876        ;  ; 8435406130921 ; 4 ; 50 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14879        ; 100 ; Cuadro Ûleo mujer              ; Mueble ;  ;  ; 0 ; 1 ;  ; 14879        ;  ; 8435406130952 ; 4 ; 100 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14880        ; 100 ; Cuadro Ûleo mujer              ; Mueble ;  ;  ; 0 ; 1 ;  ; 14880        ;  ; 8435406130969 ; 4 ; 100 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14881        ; 100 ; Cuadro Ûleo cara buda          ; Mueble ;  ;  ; 0 ; 1 ;  ; 14881        ;  ; 8435406130976 ; 4 ; 100 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
14882        ; 100 ; Cuadro Ûleo cara buda          ; Mueble ;  ;  ; 0 ; 1 ;  ; 14882        ;  ; 8435406130983 ; 4 ; 100 ; 105 ; Cm ; U ; 100 ; 0 ; 0 ; 0
